Route,Day,Stop,OrderID,ZIP,Cube_ft3,Arrival,Departure,CumDrive_h,CumDuty_h,RouteMiles,Overnight
1,Mon,DC(start),0,1887,,,07:36,,,,
1,Mon,,23,2129,1676,08:00,08:50,0.4,1.238,,
1,Mon,,255,2129,120,08:50,09:20,0.4,1.738,,
1,Mon,DC(end),0,1887,1796,09:44,,0.8,2.138,32.0,No
2,Mon,DC(start),0,1887,,,04:54,,,,
2,Mon,,40,6415,213,08:00,08:30,3.1,3.6,,
2,Mon,,109,6457,198,09:00,09:30,3.6,4.6,,
2,Mon,,128,6457,204,09:30,10:00,3.6,5.1,,
2,Mon,,250,6517,167,10:34,11:04,4.175,6.175,,
2,Mon,,85,6825,127,11:45,12:15,4.85,7.35,,
2,Mon,,87,6897,163,12:36,13:06,5.2,8.2,,
2,Mon,,241,6524,153,14:04,14:34,6.175,9.675,,
2,Mon,,14,6032,1479,15:19,16:04,6.925,11.164,,
2,Mon,,104,6156,124,16:19,16:49,7.175,11.914,,
2,Mon,,192,6103,127,16:50,17:20,7.2,12.439,,
2,Mon,,45,6108,242,17:25,17:55,7.275,13.014,,
2,Mon,DC(end),0,1887,3197,20:37,,9.975,15.714,399.0,No
3,Mon,DC(start),0,1887,,,05:55,,,,
3,Mon,,67,6241,102,08:00,08:30,2.075,2.575,,
3,Mon,,237,6340,148,09:45,10:15,3.325,4.325,,
3,Mon,,207,6340,145,10:15,10:45,3.325,4.825,,
3,Mon,,120,6320,124,10:52,11:22,3.45,5.45,,
3,Mon,,76,6320,631,11:22,11:52,3.45,5.95,,
3,Mon,,217,6269,220,12:47,13:17,4.35,7.35,,
3,Mon,,180,6043,159,13:38,14:08,4.7,8.2,,
3,Mon,,155,6040,184,14:17,14:47,4.85,8.85,,
3,Mon,,58,6183,183,14:58,15:28,5.05,9.55,,
3,Mon,,152,6183,211,15:28,15:58,5.05,10.05,,
3,Mon,,223,6183,144,15:58,16:29,5.05,10.55,,
3,Mon,,80,6102,110,16:30,17:00,5.075,11.075,,
3,Mon,,15,6095,157,17:16,17:46,5.35,11.85,,
3,Mon,,168,6096,170,17:54,18:24,5.475,12.475,,
3,Mon,DC(end),0,1887,2688,21:16,,8.35,15.35,334.0,No
4,Mon,DC(start),0,1887,,,07:35,,,,
4,Mon,,162,2114,106,08:00,08:30,0.425,0.925,,
4,Mon,,28,2110,85,08:32,09:02,0.45,1.45,,
4,Mon,,70,2110,200,09:02,09:32,0.45,1.95,,
4,Mon,,209,2111,246,09:33,10:03,0.475,2.475,,
4,Mon,,244,2210,163,10:06,10:36,0.525,3.025,,
4,Mon,,90,2132,187,10:51,11:21,0.775,3.775,,
4,Mon,,178,2135,165,11:30,12:00,0.925,4.425,,
4,Mon,,117,2466,161,12:09,12:39,1.075,5.075,,
4,Mon,,20,1581,111,13:12,13:42,1.625,6.125,,
4,Mon,,201,1752,124,13:57,14:27,1.875,6.875,,
4,Mon,,188,2493,127,14:47,15:17,2.2,7.7,,
4,Mon,,32,2493,152,15:17,15:47,2.2,8.2,,
4,Mon,,251,1821,146,16:12,16:42,2.625,9.125,,
4,Mon,DC(end),0,1887,1973,16:54,,2.825,9.325,113.0,No
5,Mon,DC(start),0,1887,,,02:58,,,,
5,Mon,,175,5401,160,08:00,08:30,5.025,5.525,,
5,Mon,,258,5401,165,08:30,09:00,5.025,6.025,,
5,Mon,,132,3906,244,14:17,14:47,10.3,11.8,,
5,Mon,DC(end),0,1887,569,16:33,,12.075,13.575,483.0,No
6,Tue,DC(start),0,1887,,,07:43,,,,
