Route,Day,Stop,OrderID,ZIP,Cube_ft3,Arrival,Departure,CumDrive_h,CumDuty_h,RouteMiles,Overnight
1,Mon,DC(start),0,1887,,,07:35,,,,
1,Mon,,28,2110,85,08:00,08:30,0.425,0.925,,
1,Mon,,70,2110,200,08:30,09:00,0.425,1.425,,
1,Mon,,209,2111,246,09:02,09:32,0.45,1.95,,
1,Mon,,244,2210,163,09:35,10:05,0.5,2.5,,
1,Mon,,162,2114,106,10:08,10:38,0.55,3.05,,
1,Mon,,255,2129,120,10:41,11:11,0.6,3.6,,
1,Mon,DC(end),0,1887,920,11:35,,1.0,4.0,40.0,No
2,Mon,DC(start),0,1887,,,07:27,,,,
2,Mon,,32,2493,152,08:00,08:30,0.55,1.05,,
2,Mon,,80,6102,110,10:49,11:19,2.875,3.875,,
2,Mon,,152,6183,211,11:21,11:51,2.9,4.4,,
2,Mon,,58,6183,183,11:51,12:21,2.9,4.9,,
2,Mon,DC(end),0,1887,656,15:08,,5.675,7.675,227.0,No
3,Mon,DC(start),0,1887,,,07:36,,,,
3,Mon,,23,2129,1676,08:00,08:50,0.4,1.238,,
3,Mon,,90,2132,187,09:05,09:35,0.65,1.988,,
3,Mon,,178,2135,165,09:44,10:14,0.8,2.638,,
3,Mon,,117,2466,161,10:23,10:53,0.95,3.288,,
3,Mon,,201,1752,124,11:23,11:53,1.45,4.288,,
3,Mon,,188,2493,127,12:13,12:43,1.775,5.113,,
3,Mon,,251,1821,146,13:08,13:38,2.2,6.038,,
3,Mon,DC(end),0,1887,2586,13:50,,2.4,6.238,96.0,No
4,Mon,DC(start),0,1887,,,04:54,,,,
4,Mon,,40,6415,213,08:00,08:30,3.1,3.6,,
4,Mon,,109,6457,198,09:00,09:30,3.6,4.6,,
4,Mon,,128,6457,204,09:30,10:00,3.6,5.1,,
4,Mon,,250,6517,167,10:34,11:04,4.175,6.175,,
4,Mon,,85,6825,127,11:45,12:15,4.85,7.35,,
4,Mon,,87,6897,163,12:36,13:06,5.2,8.2,,
4,Mon,,241,6524,153,14:04,14:34,6.175,9.675,,
4,Mon,,14,6032,1479,15:19,16:04,6.925,11.164,,
4,Mon,,104,6156,124,16:19,16:49,7.175,11.914,,
4,Mon,,223,6183,144,16:50,17:20,7.2,12.439,,
4,Mon,,192,6103,127,17:22,17:52,7.225,12.964,,
4,Mon,DC(end),0,1887,3099,20:38,,10.0,15.739,400.0,No
5,Mon,DC(start),0,1887,,,06:47,,,,
5,Mon,,20,1581,111,08:00,08:30,1.225,1.725,,
5,Mon,,67,6241,102,09:33,10:03,2.275,3.275,,
5,Mon,,237,6340,148,11:18,11:48,3.525,5.025,,
5,Mon,,207,6340,145,11:48,12:18,3.525,5.525,,
5,Mon,,120,6320,124,12:26,12:56,3.65,6.15,,
5,Mon,,76,6320,631,12:56,13:26,3.65,6.65,,
5,Mon,,217,6269,220,14:20,14:50,4.55,8.05,,
5,Mon,,180,6043,159,15:11,15:41,4.9,8.9,,
5,Mon,,155,6040,184,15:50,16:20,5.05,9.55,,
5,Mon,,45,6108,242,16:29,16:59,5.2,10.2,,
5,Mon,,15,6095,157,17:15,17:45,5.475,10.975,,
5,Mon,,168,6096,170,17:52,18:22,5.6,11.6,,
5,Mon,DC(end),0,1887,2393,21:15,,8.475,14.475,339.0,No
6,Mon,DC(start),0,1887,,,02:58,,,,
6,Mon,,175,5401,160,08:00,08:30,5.025,5.525,,
6,Mon,,258,5401,165,08:30,09:00,5.025,6.025,,
6,Mon,,132,3906,244,14:17,14:47,10.3,11.8,,
6,Mon,DC(end),0,1887,569,16:33,,12.075,13.575,483.0,No
7,Tue,DC(start),0,1887,,,07:30,,,,
7,Tue,,42,2115,135,08:00,08:30,0.5,1.0,,
7,Tue,,186,2139,131,08:33,09:03,0.55,1.55,,
7,Tue,,34,2215,301,09:08,09:38,0.625,2.125,,
7,Tue,,122,2116,283,09:43,10:13,0.725,2.725,,
7,Tue,,51,2116,135,10:13,10:43,0.725,3.225,,
7,Tue,,33,2116,247,10:43,11:13,0.725,3.725,,
7,Tue,DC(end),0,1887,1232,11:40,,1.175,4.175,47.0,No
8,Tue,DC(start),0,1887,,,07:35,,,,
8,Tue,,211,2138,141,08:00,08:30,0.425,0.925,,
8,Tue,,163,2139,119,08:33,09:03,0.475,1.475,,
8,Tue,,71,2142,164,09:05,09:35,0.5,2.0,,
8,Tue,,239,2142,122,09:35,10:05,0.5,2.5,,
8,Tue,,92,2110,226,10:08,10:38,0.55,3.05,,
8,Tue,,72,2114,199,10:39,11:09,0.575,3.575,,
8,Tue,DC(end),0,1887,971,11:35,,1.0,4.0,40.0,No
9,Tue,DC(start),0,1887,,,07:27,,,,
9,Tue,,212,2493,114,08:00,08:30,0.55,1.05,,
9,Tue,,177,6106,164,10:54,11:24,2.95,3.95,,
9,Tue,,235,6115,105,11:28,11:58,3.025,4.525,,
9,Tue,,148,6105,496,12:00,12:30,3.05,5.05,,
9,Tue,DC(end),0,1887,879,15:18,,5.85,7.85,234.0,No
10,Tue,DC(start),0,1887,,,08:00,,,,
10,Tue,,7,1887,491,08:00,08:30,0.0,0.5,,
10,Tue,,78,1821,146,08:42,09:12,0.2,1.2,,
10,Tue,,108,1821,261,09:12,09:42,0.2,1.7,,
10,Tue,,176,1730,226,09:51,10:21,0.35,2.35,,
10,Tue,,26,2481,409,10:43,11:13,0.725,3.225,,
10,Tue,,221,2467,143,11:24,11:54,0.9,3.9,,
10,Tue,,10,2215,203,12:05,12:35,1.075,4.575,,
10,Tue,,187,2138,143,12:41,13:11,1.175,5.175,,
10,Tue,,9,2139,182,13:14,13:44,1.225,5.725,,
10,Tue,,140,2114,136,13:48,14:18,1.3,6.3,,
10,Tue,,8,1910,100,14:35,15:05,1.575,7.075,,
10,Tue,,66,1984,197,15:32,16:01,2.025,8.025,,
10,Tue,,4,1845,111,16:22,16:52,2.375,8.875,,
10,Tue,,22,1845,286,16:52,17:22,2.375,9.375,,
10,Tue,DC(end),0,1887,3034,17:39,,2.65,9.65,106.0,No
11,Tue,DC(start),0,1887,,,04:50,,,,
11,Tue,,57,6457,180,08:00,08:30,3.175,3.675,,
11,Tue,,150,6457,133,08:30,09:00,3.175,4.175,,
11,Tue,,60,6854,110,10:30,11:00,4.675,6.175,,
11,Tue,,224,6902,276,11:15,11:45,4.925,6.925,,
11,Tue,,153,6902,149,11:45,12:15,4.925,7.425,,
11,Tue,,18,6830,394,12:26,12:56,5.1,8.1,,
11,Tue,,107,6927,106,13:11,13:41,5.35,8.85,,
11,Tue,,125,6927,182,13:41,14:11,5.35,9.35,,
11,Tue,,105,6484,572,15:02,15:32,6.2,10.7,,
11,Tue,,74,6524,210,15:57,16:27,6.625,11.625,,
11,Tue,DC(end),0,1887,2312,20:06,,10.275,15.275,411.0,No
