Route,Day,Stop,OrderID,ZIP,Cube_ft3,Arrival,Departure,CumDrive_h,CumDuty_h,RouteMiles,Overnight
1,Mon,DC(start),0,1887,,,07:48,,,,
1,Mon,,2,1821,556,08:00,08:30,0.2,0.7,,
1,Mon,,78,1821,146,08:30,09:00,0.2,1.2,,
1,Mon,,108,1821,261,09:00,09:30,0.2,1.7,,
1,Mon,,21,1821,1396,09:30,10:12,0.2,2.398,,
1,Mon,DC(end),0,1887,2359,10:24,,0.4,2.598,16.0,No
2,Mon,DC(start),0,1887,,,07:30,,,,
2,Mon,,8,1910,100,08:00,08:30,0.5,1.0,,
2,Mon,,75,2493,122,09:09,09:39,1.15,2.15,,
2,Mon,,142,2493,195,09:39,10:09,1.15,2.65,,
2,Mon,,188,2493,127,10:09,10:39,1.15,3.15,,
2,Mon,,212,2493,114,10:39,11:09,1.15,3.65,,
2,Mon,,165,2493,128,11:09,11:39,1.15,4.15,,
2,Mon,,100,2493,265,11:39,12:09,1.15,4.65,,
2,Mon,,32,2493,152,12:09,12:39,1.15,5.15,,
2,Mon,DC(end),0,1887,1203,13:12,,1.7,5.7,68.0,No
3,Mon,DC(start),0,1887,,,07:27,,,,
3,Mon,,11,2493,3153,08:00,09:35,0.55,2.127,,
3,Mon,DC(end),0,1887,3153,10:08,,1.1,2.676,44.0,No
4,Mon,DC(start),0,1887,,,07:32,,,,
4,Mon,,25,2451,2614,08:00,09:18,0.475,1.782,,
4,Mon,,191,2451,131,09:18,09:48,0.475,2.282,,
4,Mon,,176,1730,226,10:00,10:30,0.675,2.982,,
4,Mon,,251,1821,146,10:39,11:09,0.825,3.632,,
4,Mon,DC(end),0,1887,3117,11:21,,1.025,3.832,41.0,No
5,Mon,DC(start),0,1887,,,05:13,,,,
5,Mon,,36,6103,102,08:00,08:30,2.775,3.275,,
5,Mon,,145,6103,122,08:30,09:00,2.775,3.775,,
5,Mon,,192,6103,127,09:00,09:30,2.775,4.275,,
5,Mon,,80,6102,110,09:32,10:02,2.8,4.8,,
5,Mon,,177,6106,164,10:05,10:35,2.85,5.35,,
5,Mon,,115,6062,286,10:53,11:23,3.15,6.15,,
5,Mon,,48,6524,396,11:59,12:29,3.75,7.25,,
5,Mon,,98,6524,98,12:29,12:59,3.75,7.75,,
5,Mon,,164,6524,149,12:59,13:29,3.75,8.25,,
5,Mon,,241,6524,153,13:29,13:59,3.75,8.75,,
5,Mon,,119,6524,138,13:59,14:29,3.75,9.25,,
5,Mon,,74,6524,210,14:29,14:59,3.75,9.75,,
5,Mon,,134,6451,225,15:23,15:53,4.15,10.65,,
5,Mon,,111,6050,186,16:08,16:38,4.4,11.4,,
5,Mon,,204,6051,423,16:39,17:09,4.425,11.925,,
5,Mon,DC(end),0,1887,2889,20:09,,7.425,14.925,297.0,No
6,Mon,DC(start),0,1887,,,04:58,,,,
6,Mon,,52,6032,180,08:00,08:30,3.025,3.525,,
6,Mon,,213,6032,154,08:30,09:00,3.025,4.025,,
6,Mon,,246,6032,129,09:00,09:30,3.025,4.525,,
6,Mon,,123,6032,151,09:30,10:00,3.025,5.025,,
6,Mon,,14,6032,1479,10:00,10:44,3.025,5.764,,
6,Mon,,39,6091,257,11:22,11:52,3.65,6.889,,
6,Mon,,41,6035,163,12:16,12:46,4.05,7.79,,
6,Mon,,253,6095,94,13:01,13:31,4.3,8.54,,
6,Mon,,15,6095,157,13:31,14:01,4.3,9.04,,
6,Mon,,168,6096,170,14:08,14:38,4.425,9.665,,
6,Mon,,220,6096,98,14:38,15:08,4.425,10.165,,
6,Mon,,55,6096,112,15:08,15:38,4.425,10.665,,
6,Mon,DC(end),0,1887,3144,18:31,,7.3,13.54,292.0,No
7,Mon,DC(start),0,1887,,,07:02,,,,
7,Mon,,89,1510,390,08:00,08:30,0.975,1.475,,
7,Mon,,200,1606,159,08:47,09:17,1.25,2.25,,
7,Mon,,88,6040,131,10:56,11:26,2.9,4.4,,
7,Mon,,50,6033,131,11:33,12:03,3.025,5.025,,
7,Mon,,121,6033,243,12:03,12:33,3.025,5.525,,
7,Mon,,167,6033,140,12:33,13:03,3.025,6.025,,
7,Mon,,102,6033,168,13:03,13:33,3.025,6.525,,
7,Mon,,155,6040,184,13:41,14:11,3.15,7.15,,
7,Mon,,45,6108,242,14:20,14:50,3.3,7.8,,
7,Mon,,161,6108,237,14:50,15:20,3.3,8.3,,
7,Mon,,238,6108,246,15:20,15:50,3.3,8.8,,
7,Mon,,94,6108,150,15:50,16:20,3.3,9.3,,
7,Mon,,30,6108,205,16:20,16:50,3.3,9.8,,
7,Mon,DC(end),0,1887,2626,19:32,,6.0,12.5,240.0,No
8,Mon,DC(start),0,1887,,,03:43,,,,
8,Mon,,214,6814,251,08:00,08:30,4.275,4.775,,
8,Mon,,247,6814,166,08:30,09:00,4.275,5.275,,
8,Mon,,144,6814,147,09:00,09:30,4.275,5.775,,
8,Mon,,172,6810,261,09:34,10:04,4.35,6.35,,
8,Mon,,83,6877,172,10:15,10:45,4.525,7.025,,
8,Mon,,227,6877,125,10:45,11:15,4.525,7.525,,
8,Mon,,53,6927,112,11:38,12:08,4.9,8.4,,
8,Mon,,125,6927,182,12:08,12:38,4.9,8.9,,
8,Mon,,147,6927,173,12:38,13:08,4.9,9.4,,
8,Mon,,107,6927,106,13:08,13:38,4.9,9.9,,
8,Mon,,156,6903,197,13:41,14:11,4.95,10.45,,
8,Mon,,137,6840,195,14:22,14:52,5.15,11.15,,
8,Mon,,87,6897,163,15:02,15:32,5.3,11.8,,
8,Mon,,64,6824,143,15:48,16:18,5.575,12.575,,
8,Mon,,105,6484,572,16:39,17:09,5.925,13.425,,
8,Mon,DC(end),0,1887,2965,21:05,,9.85,17.35,394.0,No
9,Mon,DC(start),0,1887,,,05:10,,,,
9,Mon,,231,1060,151,08:00,08:30,2.825,3.325,,
9,Mon,,81,1101,140,08:58,09:28,3.3,4.3,,
9,Mon,,133,6082,121,09:43,10:13,3.55,5.05,,
9,Mon,,179,6082,135,10:13,10:43,3.55,5.55,,
9,Mon,,148,6105,496,11:17,11:47,4.1,6.6,,
9,Mon,,248,6105,149,11:47,12:17,4.1,7.1,,
9,Mon,,127,6105,127,12:17,12:47,4.1,7.6,,
9,Mon,,35,6156,236,12:48,13:18,4.125,8.125,,
9,Mon,,216,6156,263,13:18,13:48,4.125,8.625,,
9,Mon,,235,6115,105,13:48,14:18,4.125,9.125,,
9,Mon,,104,6156,124,14:18,14:48,4.125,9.625,,
9,Mon,,16,6156,255,14:48,15:18,4.125,10.125,,
9,Mon,,58,6183,183,15:20,15:50,4.15,10.65,,
9,Mon,,223,6183,144,15:50,16:20,4.15,11.15,,
9,Mon,,254,6183,111,16:20,16:50,4.15,11.65,,
9,Mon,,152,6183,211,16:50,17:20,4.15,12.15,,
9,Mon,,114,6084,78,17:51,18:21,4.675,13.175,,
9,Mon,DC(end),0,1887,3029,20:44,,7.05,15.55,282.0,No
10,Tue,DC(start),0,1887,,,03:17,,,,
10,Tue,,18,6830,394,08:00,08:30,4.725,5.225,,
10,Tue,,19,6902,896,08:41,09:11,4.9,5.9,,
10,Tue,,157,6870,126,09:15,09:45,4.975,6.475,,
10,Tue,,224,6902,276,09:49,10:19,5.05,7.05,,
10,Tue,,153,6902,149,10:19,10:49,5.05,7.55,,
10,Tue,,257,6901,235,10:51,11:21,5.075,8.075,,
10,Tue,,129,6901,88,11:21,11:51,5.075,8.575,,
10,Tue,,171,6854,376,12:06,12:36,5.325,9.325,,
10,Tue,,256,6854,152,12:36,13:06,5.325,9.825,,
10,Tue,,60,6854,110,13:06,13:36,5.325,10.325,,
10,Tue,,197,6851,348,13:42,14:12,5.425,10.925,,
10,Tue,DC(end),0,1887,3150,18:38,,9.85,15.35,394.0,No
11,Tue,DC(start),0,1887,,,04:58,,,,
11,Tue,,29,6340,199,08:00,08:30,3.025,3.525,,
11,Tue,,93,6340,219,08:30,09:00,3.025,4.025,,
11,Tue,,207,6340,145,09:00,09:30,3.025,4.525,,
11,Tue,,237,6340,148,09:30,10:00,3.025,5.025,,
11,Tue,,160,6340,260,10:00,10:30,3.025,5.525,,
11,Tue,,44,6340,164,10:30,11:00,3.025,6.025,,
11,Tue,,130,1570,336,12:34,13:04,4.6,8.1,,
11,Tue,,20,1581,111,13:43,14:13,5.25,9.25,,
11,Tue,,198,1581,102,14:13,14:43,5.25,9.75,,
11,Tue,,201,1752,124,14:58,15:28,5.5,10.5,,
11,Tue,,229,1752,180,15:28,15:58,5.5,11.0,,
11,Tue,,116,1752,164,15:58,16:29,5.5,11.5,,
11,Tue,,228,1772,119,16:33,17:03,5.575,12.075,,
11,Tue,,249,1701,106,17:15,17:45,5.775,12.775,,
11,Tue,,219,1701,137,17:45,18:15,5.775,13.275,,
11,Tue,DC(end),0,1887,2514,19:01,,6.55,14.05,262.0,No
12,Tue,DC(start),0,1887,,,07:13,,,,
12,Tue,,149,1701,137,08:00,08:30,0.775,1.275,,
12,Tue,DC(end),0,1887,137,09:17,,1.55,2.05,62.0,No
13,Tue,DC(start),0,1887,,,05:22,,,,
13,Tue,,180,6043,159,08:00,08:30,2.625,3.125,,
13,Tue,,40,6415,213,08:57,09:27,3.075,4.075,,
13,Tue,,57,6457,180,09:57,10:27,3.575,5.075,,
13,Tue,,128,6457,204,10:27,10:57,3.575,5.575,,
13,Tue,,150,6457,133,10:57,11:27,3.575,6.075,,
13,Tue,,109,6457,198,11:27,11:57,3.575,6.575,,
13,Tue,,61,6492,103,12:15,12:45,3.875,7.375,,
13,Tue,,54,6517,283,13:02,13:32,4.15,8.15,,
13,Tue,,250,6517,167,13:32,14:02,4.15,8.65,,
13,Tue,,63,6510,112,14:08,14:38,4.25,9.25,,
13,Tue,,261,6516,130,14:48,15:18,4.425,9.925,,
13,Tue,,112,6615,181,15:39,16:09,4.775,10.775,,
13,Tue,,226,6615,187,16:09,16:39,4.775,11.275,,
13,Tue,,85,6825,127,16:52,17:22,5.0,12.0,,
13,Tue,DC(end),0,1887,2377,21:31,,9.15,16.15,366.0,No
14,Tue,DC(start),0,1887,,,05:39,,,,
14,Tue,,193,6269,118,08:00,08:30,2.35,2.85,,
14,Tue,,217,6269,220,08:30,09:00,2.35,3.35,,
14,Tue,,106,6269,186,09:00,09:30,2.35,3.85,,
14,Tue,,17,6320,343,10:24,10:54,3.25,5.25,,
14,Tue,,76,6320,631,10:54,11:24,3.25,5.75,,
14,Tue,,120,6320,124,11:24,11:54,3.25,6.25,,
14,Tue,,166,6320,474,11:54,12:24,3.25,6.75,,
14,Tue,,243,6320,89,12:24,12:54,3.25,7.25,,
14,Tue,,143,6320,164,12:54,13:24,3.25,7.75,,
14,Tue,,101,6320,103,13:24,13:54,3.25,8.25,,
14,Tue,,49,6320,256,13:54,14:24,3.25,8.75,,
14,Tue,,68,6349,81,14:35,15:05,3.425,9.425,,
14,Tue,,67,6241,102,16:14,16:44,4.575,11.075,,
14,Tue,DC(end),0,1887,2891,18:48,,6.65,13.15,266.0,No
15,Wed,DC(start),0,1887,,,07:21,,,,
15,Wed,,26,2481,409,08:00,08:30,0.65,1.15,,
15,Wed,,117,2466,161,08:36,09:06,0.75,1.75,,
15,Wed,,174,2453,182,09:10,09:40,0.825,2.325,,
15,Wed,,187,2138,143,09:52,10:22,1.025,3.025,,
15,Wed,,242,2138,109,10:22,10:52,1.025,3.525,,
15,Wed,,97,2139,203,10:55,11:25,1.075,4.075,,
15,Wed,,163,2139,119,11:25,11:55,1.075,4.575,,
15,Wed,,9,2139,182,11:55,12:25,1.075,5.075,,
15,Wed,,211,2138,141,12:28,12:58,1.125,5.625,,
15,Wed,,99,2138,172,12:58,13:28,1.125,6.125,,
15,Wed,,173,2155,96,13:36,14:06,1.25,6.75,,
15,Wed,,38,2155,143,14:06,14:36,1.25,7.25,,
15,Wed,DC(end),0,1887,2060,14:54,,1.55,7.55,62.0,No
16,Wed,DC(start),0,1887,,,07:30,,,,
16,Wed,,186,2139,131,08:00,08:30,0.5,1.0,,
16,Wed,,210,2139,401,08:30,09:00,0.5,1.5,,
16,Wed,,131,2134,142,09:02,09:32,0.525,2.025,,
16,Wed,,34,2215,301,09:35,10:05,0.575,2.575,,
16,Wed,,190,2215,140,10:05,10:35,0.575,3.075,,
16,Wed,,215,2215,178,10:35,11:05,0.575,3.575,,
16,Wed,,124,2215,160,11:05,11:35,0.575,4.075,,
16,Wed,,10,2215,203,11:35,12:05,0.575,4.575,,
16,Wed,,178,2135,165,12:11,12:41,0.675,5.175,,
16,Wed,,260,2135,132,12:41,13:11,0.675,5.675,,
16,Wed,,221,2467,143,13:15,13:45,0.75,6.25,,
16,Wed,,90,2132,187,13:49,14:19,0.825,6.825,,
16,Wed,,65,2917,212,15:22,15:52,1.875,8.375,,
16,Wed,,154,2766,345,16:33,17:03,2.55,9.55,,
16,Wed,,139,2332,176,17:57,18:27,3.45,10.95,,
16,Wed,DC(end),0,1887,3016,19:42,,4.7,12.2,188.0,No
17,Wed,DC(start),0,1887,,,06:05,,,,
17,Wed,,259,2747,131,08:00,08:30,1.925,2.425,,
17,Wed,,205,2840,366,09:11,09:41,2.6,3.6,,
17,Wed,,233,2822,151,10:12,10:42,3.125,4.625,,
17,Wed,,12,2914,608,11:24,11:54,3.825,5.825,,
17,Wed,,27,2914,1594,11:54,12:42,3.825,6.622,,
